# New user's distance 
 , M1, M2, M3, M4, M5, M6, M7, M8, M9, M10
U0, 0, 6, 9, 0, 0, 6, 0, 9, 0, 0
U1, 7, 0, 9, 0, 4, 0, 9, 0, 7, 0
U2, 0, 6, 0, 9, 0, 7, 0, 8, 0, 4

# Similarity 
 , M1, M2, M3, M4, M5, M6, M7, M8, M9, M10
U0, 0.152259, 0.0527087, 0.0516594, 0.0534187, 0.0464196, 0.0570688
U1, 0.102904, 0.0695454, 0.0674751, 0.0565824, 0.0515869, 0.0582904
U2, 0.190744, 0.0527087, 0.049355, 0.0527862, 0.0500659, 0.0553749

# Recomended 
 , M1, M2, M3, M4, M5, M6, M7, M8, M9, M10
U0, 8.12863, 6, 9, 9.33332, 13.8322, 6, 10.2492, 9, 13.2703, 12.2683
U1, 7, 10.6936, 9, 8.60079, 4, 12.2116, 9, 10.0607, 7, 12.7262
U2, 7.47441, 6, 8.6716, 9, 13.3076, 7, 9.75011, 8, 12.6769, 4
