fixed acidity,volatile acidity,residual sugar,chlorides,total sulfur dioxide,pH,sulphates,wine type
8,0.18,0.9,0.049,109,2.89,0.44,red
8,0.18,0.9,0.049,109,2.89,0.44,red
7.3,0.65,1.2,0.065,21,3.39,0.47,red
5.4,0.835,1.2,0.046,93,3.57,0.85,red
8.7,0.82,1.2,0.07,48,3.2,0.58,red
7.3,0.305,1.2,0.059,11,3.29,0.52,red
7.3,0.305,1.2,0.059,11,3.29,0.52,red
5.4,0.74,1.2,0.041,46,4.01,0.59,red
5,0.74,1.2,0.041,46,4.01,0.59,red
6.8,0.815,1.2,0.267,29,3.32,0.51,red
7.6,0.68,1.3,0.072,20,3.17,1.08,red
9.1,0.52,1.3,0.07,30,3.24,0.6,red
5.1,0.47,1.3,0.034,44,3.9,0.62,red
9,0.39,1.3,0.044,50,3.2,0.83,red
7.1,0.62,1.3,0.07,12,3.17,0.48,red
6.3,0.39,1.4,0.08,23,3.34,0.56,red
5.6,0.31,1.4,0.074,96,3.32,0.58,red
5,1.02,1.4,0.045,85,3.75,0.48,red
9.6,0.32,1.4,0.056,24,3.22,0.82,red
6.1,0.21,1.4,0.066,165,3.25,0.59,red
5.6,0.85,1.4,0.045,88,3.56,0.82,red
8.7,0.31,1.4,0.059,25,3.36,0.76,red
8.7,0.84,1.4,0.065,33,3.27,0.55,red
12,0.5,1.4,0.073,42,2.92,0.68,red
7.2,0.52,1.4,0.074,20,3.32,0.81,red
7.2,0.52,1.4,0.074,20,3.32,0.81,red
12,0.63,1.4,0.071,26,3.07,0.6,red
12.2,0.45,1.4,0.075,6,3.13,0.63,red
12.2,0.45,1.4,0.075,6,3.13,0.63,red
9.8,0.34,1.4,0.066,7,3.19,0.55,red
8.9,0.84,1.4,0.05,10,3.12,0.48,red
6.9,0.44,1.4,0.07,38,3.32,0.58,red
8.5,0.46,1.4,0.414,45,3.03,1.34,red
10.3,0.27,1.4,0.047,8,3.16,0.51,red
8.3,0.53,1.4,0.07,14,3.25,0.64,red
6.3,0.47,1.4,0.055,33,3.45,0.48,red
8.8,0.45,1.4,0.076,21,3.21,0.75,red
7.9,0.66,1.4,0.096,13,3.43,0.58,red
5.7,0.6,1.4,0.063,18,3.45,0.56,red
7,0.62,1.4,0.071,63,3.28,0.61,red
6,0.5,1.4,0.057,26,3.36,0.45,red
6,0.5,1.4,0.057,26,3.36,0.45,red
6,0.5,1.4,0.057,26,3.36,0.45,red
11.6,0.475,1.4,0.091,28,3.07,0.65,red
11.6,0.475,1.4,0.091,28,3.07,0.65,red
8.2,0.885,1.4,0.086,31,3.11,0.46,red
8.3,0.26,1.4,0.076,23,3.26,0.7,red
8.3,0.26,1.4,0.076,23,3.26,0.7,red
10,0.69,1.4,0.084,24,2.88,0.47,red
6.4,0.31,1.4,0.066,28,3.42,0.7,red
5.7,1.13,1.5,0.172,19,3.5,0.48,red
7.5,0.52,1.5,0.079,39,3.42,0.58,red
8.3,0.625,1.5,0.08,119,3.16,1.12,red
6.6,0.5,1.5,0.06,26,3.4,0.58,red
6.9,0.5,1.5,0.085,49,3.35,0.78,red
6.8,0.5,1.5,0.075,49,3.36,0.79,red
6.8,0.61,1.5,0.057,10,3.42,0.6,red
11.1,0.18,1.5,0.068,15,3.22,0.64,red
7,0.62,1.5,0.062,50,3.08,0.6,red
8.2,0.39,1.5,0.058,29,3.26,0.74,red
10.4,0.44,1.5,0.145,48,3.38,0.86,red
7.6,0.665,1.5,0.066,55,3.39,0.51,red
9.3,0.36,1.5,0.08,55,3.47,0.73,red
9.3,0.36,1.5,0.08,55,3.47,0.73,red
9.3,0.36,1.5,0.08,55,3.47,0.73,red
6.9,0.56,1.5,0.086,46,3.53,0.57,red
5.3,0.715,1.5,0.161,62,3.62,0.61,red
9.7,0.295,1.5,0.073,21,3.14,0.51,red
9.9,0.35,1.5,0.058,47,3.26,0.82,red
9.3,0.33,1.5,0.057,37,3.18,0.89,red
11.6,0.41,1.5,0.095,41,3.02,0.76,red
11.6,0.41,1.5,0.095,41,3.02,0.76,red
8.6,0.52,1.5,0.096,18,3.2,0.52,red
8.6,0.52,1.5,0.096,18,3.2,0.52,red
7.9,0.33,1.5,0.056,35,3.29,0.71,red
7.7,0.57,1.5,0.069,9,3.16,0.54,red
7.7,0.57,1.5,0.069,9,3.16,0.54,red
5.6,0.62,1.5,0.08,13,3.66,0.62,red
8.1,0.33,1.5,0.042,12,3.35,0.61,red
7.5,0.725,1.5,0.076,15,3.26,0.53,red
7.9,0.6,1.6,0.069,59,3.3,0.46,red
5.6,0.615,1.6,0.089,59,3.58,0.52,red
7.8,0.61,1.6,0.114,29,3.26,1.56,red
7.9,0.43,1.6,0.106,37,3.17,0.91,red
7.9,0.43,1.6,0.106,37,3.17,0.91,red
8.7,0.29,1.6,0.113,37,3.25,0.58,red
6.4,0.4,1.6,0.066,12,3.34,0.56,red
6.6,0.705,1.6,0.076,15,3.44,0.58,red
6.2,0.45,1.6,0.069,15,3.41,0.56,red
7.8,0.5,1.6,0.082,102,3.39,0.48,red
7.6,0.49,1.6,0.236,88,3.11,0.8,red
7.3,0.55,1.6,0.072,42,3.37,0.48,red
7,0.42,1.6,0.088,39,3.34,0.55,red
7,0.43,1.6,0.089,37,3.34,0.56,red
5.2,0.48,1.6,0.054,106,3.54,0.62,red
10.8,0.32,1.6,0.063,37,3.22,0.78,red
7.4,0.67,1.6,0.186,21,3.39,0.54,red
7.9,0.24,1.6,0.056,25,3.32,0.87,red
7,0.23,1.6,0.063,67,3.5,0.63,red
5,1.04,1.6,0.05,96,3.74,0.62,red
7.5,0.42,1.6,0.08,42,3.31,0.64,red
7.2,0.57,1.6,0.076,27,3.36,0.7,red
7.7,0.66,1.6,0.039,9,3.4,0.47,red
9.1,0.765,1.6,0.078,14,3.29,0.54,red
9.7,0.31,1.6,0.062,33,3.27,0.66,red
9.3,0.37,1.6,0.038,42,3.24,0.81,red
10.8,0.29,1.6,0.084,27,3.28,0.73,red
11.6,0.47,1.6,0.147,51,3.38,0.86,red
8.8,0.685,1.6,0.088,23,3.32,0.47,red
10.1,0.31,1.6,0.075,28,3.24,0.83,red
6.4,0.63,1.6,0.08,32,3.58,0.66,red
9.1,0.21,1.6,0.067,10,3.23,0.58,red
9.2,0.56,1.6,0.078,21,3.15,0.49,red
6.2,0.46,1.6,0.073,11,3.61,0.54,red
7.1,0.56,1.6,0.078,18,3.27,0.62,red
7.1,0.36,1.6,0.08,70,3.44,0.5,red
8.2,0.43,1.6,0.081,45,3.25,0.54,red
7.5,0.71,1.6,0.092,31,3.38,0.58,red
7.9,0.19,1.6,0.057,30,3.29,0.69,red
8.9,0.24,1.6,0.074,10,3.12,0.59,red
9.2,0.36,1.6,0.062,12,3.2,0.67,red
6.8,0.66,1.6,0.07,61,3.29,0.6,red
5,0.38,1.6,0.048,60,3.7,0.75,red
7.3,0.44,1.6,0.049,64,3.38,0.57,red
6.6,0.61,1.6,0.069,8,3.33,0.37,red
8.6,0.685,1.6,0.092,12,3.31,0.65,red
8.7,0.675,1.6,0.09,11,3.31,0.65,red
6.2,0.58,1.6,0.065,18,3.56,0.84,red
7.8,0.53,1.6,0.077,19,3.16,0.46,red
7.8,0.53,1.6,0.077,19,3.16,0.46,red
7.5,0.4,1.6,0.079,58,3.34,0.58,red
5.9,0.44,1.6,0.042,11,3.48,0.85,red
10,0.38,1.6,0.169,90,3.15,0.65,red
6.5,0.9,1.6,0.052,17,3.5,0.63,red
6.2,0.65,1.6,0.05,18,3.57,0.54,red
6.3,0.6,1.6,0.048,26,3.55,0.51,red
7,0.56,1.6,0.077,42,3.34,0.59,red
8,0.3,1.6,0.081,29,3.3,0.78,red
6.4,0.69,1.65,0.055,12,3.47,0.53,red
9.8,0.39,1.65,0.068,11,3.19,0.46,red
8.1,0.56,1.7,0.368,56,3.11,1.28,red
8.8,0.66,1.7,0.074,23,3.15,0.74,red
7.8,0.41,1.7,0.467,69,3.08,1.31,red
6.2,0.63,1.7,0.088,64,3.46,0.79,red
7.3,1.07,1.7,0.178,89,3.3,0.57,red
8.2,1.33,1.7,0.081,12,3.53,0.49,red
6.3,0.39,1.7,0.066,20,3.34,0.58,red
7.8,0.53,1.7,0.076,31,3.33,0.56,red
7.8,0.63,1.7,0.1,96,3.19,0.62,red
8.9,0.635,1.7,0.263,62,3,1.09,red
7.7,0.53,1.7,0.074,39,3.35,0.48,red
7.9,0.33,1.7,0.077,45,3.29,0.65,red
8,0.52,1.7,0.07,35,3.34,0.57,red
7.4,0.29,1.7,0.062,30,3.41,0.53,red
7.7,0.26,1.7,0.059,38,3.29,0.47,red
5.3,0.57,1.7,0.054,27,3.57,0.84,red
6.8,0.56,1.7,0.084,35,3.44,0.63,red
10.5,0.28,1.7,0.08,24,3.2,0.89,red
6.6,0.39,1.7,0.07,149,3.12,0.5,red
8.2,0.73,1.7,0.074,13,3.2,0.52,red
8.2,0.73,1.7,0.074,13,3.2,0.52,red
7.8,0.48,1.7,0.415,32,3.09,1.06,red
8.8,0.7,1.7,0.069,19,3.31,0.53,red
5.1,0.585,1.7,0.044,86,3.56,0.94,red
9.9,0.25,1.7,0.062,42,3.18,0.83,red
11.7,0.28,1.7,0.054,32,3.15,0.67,red
8.5,0.34,1.7,0.079,12,3.52,0.63,red
7.7,0.39,1.7,0.097,27,3.16,0.49,red
7.7,0.39,1.7,0.097,27,3.16,0.49,red
8.9,0.28,1.7,0.067,12,3.25,0.55,red
6.9,0.49,1.7,0.079,26,3.38,0.64,red
7.6,0.78,1.7,0.076,45,3.31,0.62,red
9.3,0.49,1.7,0.081,14,3.27,0.78,red
6.1,0.48,1.7,0.078,30,3.45,0.54,red
8.8,0.24,1.7,0.055,27,3.14,0.59,red
5.8,0.29,1.7,0.063,11,3.39,0.54,red
5.9,0.19,1.7,0.045,135,3.32,0.44,red
8.5,0.28,1.7,0.061,15,3.3,0.74,red
8,0.25,1.7,0.067,50,3.38,0.6,red
7.3,0.4,1.7,0.08,79,3.41,0.65,red
9,0.785,1.7,0.078,21,3.29,0.67,red
9,0.785,1.7,0.078,21,3.29,0.67,red
7.6,0.36,1.7,0.079,65,3.46,0.62,red
7.6,0.36,1.7,0.079,65,3.46,0.62,red
9.9,0.72,1.7,0.136,52,3.35,0.94,red
7.8,0.55,1.7,0.07,17,3.26,0.64,red
7.5,0.61,1.7,0.076,60,3.1,0.4,red
7.4,0.74,1.7,0.086,48,3.12,0.48,red
9.8,0.3,1.7,0.062,9,3.14,0.57,red
9.1,0.76,1.7,0.414,64,2.9,1.33,red
6.7,0.46,1.7,0.077,34,3.39,0.6,red
6.7,0.46,1.7,0.077,34,3.39,0.6,red
6.7,0.46,1.7,0.077,34,3.39,0.6,red
6.7,0.46,1.7,0.077,34,3.39,0.6,red
